00:04:26 292	 finished loadPinDef
00:04:26 294	 start setSN
00:04:26 295	start cam_stop 
00:04:26 406	finish cam_stop 
00:04:26 908	start cam_stop 
00:04:27 019	finish cam_stop 
00:04:27 020	 start Playnew
00:04:27 020	into cam_play:deviceID1 
00:04:27 020	openDevice:deviceID1 
00:04:27 152	开始sensor power:deviceID 1 
00:04:27 445	完成sensor power:deviceID 1 
00:04:27 456	完成Pin set:deviceID 1 
00:04:27 736	完成I2C set:deviceID 1 
00:04:27 857	start InitSensor :deviceID 1 
00:04:27 892	完成 InitSensor  :deviceID 1 
00:04:27 893	set image format  :deviceID 1 
00:04:27 911	start Video :deviceID 1 
00:04:27 918	malloc memory :deviceID 1 
00:04:27 920	finished play :deviceID 1 
00:04:27 921	 1:start getImage
00:04:27 922	 2 getImage times:0
00:04:27 999	3  GrabFrame times:0,result=
00:04:28 005	 5 ImageProcess result=
00:04:28 008	7 finish getImage
00:04:28 010	 1:start getImage
00:04:28 010	 2 getImage times:0
00:04:28 039	3  GrabFrame times:0,result=
00:04:28 044	 5 ImageProcess result=
00:04:28 047	7 finish getImage
00:05:22 148	 1:start getImage
00:05:22 148	 2 getImage times:0
00:05:22 149	3  GrabFrame times:0,result=
00:05:22 155	 5 ImageProcess result=
00:05:22 158	7 finish getImage
00:05:22 159	 1:start getImage
00:05:22 160	 2 getImage times:0
00:05:22 183	3  GrabFrame times:0,result=
00:05:22 188	 5 ImageProcess result=
00:05:22 191	7 finish getImage
00:05:22 681	 1:start getImage
00:05:22 681	 2 getImage times:0
00:05:22 682	3  GrabFrame times:0,result=
00:05:22 687	 5 ImageProcess result=
00:05:22 691	7 finish getImage
00:05:22 693	 1:start getImage
00:05:22 694	 2 getImage times:0
00:05:22 703	3  GrabFrame times:0,result=
00:05:22 708	 5 ImageProcess result=
00:05:22 712	7 finish getImage
00:05:23 401	 1:start getImage
00:05:23 401	 2 getImage times:0
00:05:23 402	3  GrabFrame times:0,result=
00:05:23 408	 5 ImageProcess result=
00:05:23 411	7 finish getImage
00:05:23 413	 1:start getImage
00:05:23 413	 2 getImage times:0
00:05:23 422	3  GrabFrame times:0,result=
00:05:23 427	 5 ImageProcess result=
00:05:23 430	7 finish getImage
00:05:24 322	 1:start getImage
00:05:24 322	 2 getImage times:0
00:05:24 324	3  GrabFrame times:0,result=
00:05:24 329	 5 ImageProcess result=
00:05:24 332	7 finish getImage
00:05:24 333	 1:start getImage
00:05:24 333	 2 getImage times:0
00:05:24 342	3  GrabFrame times:0,result=
00:05:24 347	 5 ImageProcess result=
00:05:24 351	7 finish getImage
00:05:25 154	 1:start getImage
00:05:25 155	 2 getImage times:0
00:05:25 156	3  GrabFrame times:0,result=
00:05:25 161	 5 ImageProcess result=
00:05:25 164	7 finish getImage
00:05:25 165	 1:start getImage
00:05:25 165	 2 getImage times:0
00:05:25 182	3  GrabFrame times:0,result=
00:05:25 187	 5 ImageProcess result=
00:05:25 190	7 finish getImage
00:05:25 682	 1:start getImage
00:05:25 683	 2 getImage times:0
00:05:25 684	3  GrabFrame times:0,result=
00:05:25 689	 5 ImageProcess result=
00:05:25 692	7 finish getImage
00:05:25 693	 1:start getImage
00:05:25 694	 2 getImage times:0
00:05:25 702	3  GrabFrame times:0,result=
00:05:25 707	 5 ImageProcess result=
00:05:25 710	7 finish getImage
00:05:26 203	 1:start getImage
00:05:26 204	 2 getImage times:0
00:05:26 205	3  GrabFrame times:0,result=
00:05:26 210	 5 ImageProcess result=
00:05:26 213	7 finish getImage
00:05:26 215	 1:start getImage
00:05:26 215	 2 getImage times:0
00:05:26 222	3  GrabFrame times:0,result=
00:05:26 227	 5 ImageProcess result=
00:05:26 231	7 finish getImage
00:05:26 722	 1:start getImage
00:05:26 723	 2 getImage times:0
00:05:26 724	3  GrabFrame times:0,result=
00:05:26 728	 5 ImageProcess result=
00:05:26 732	7 finish getImage
00:05:26 733	 1:start getImage
00:05:26 733	 2 getImage times:0
00:05:26 742	3  GrabFrame times:0,result=
00:05:26 747	 5 ImageProcess result=
00:05:26 750	7 finish getImage
00:05:27 239	 1:start getImage
00:05:27 240	 2 getImage times:0
00:05:27 241	3  GrabFrame times:0,result=
00:05:27 246	 5 ImageProcess result=
00:05:27 249	7 finish getImage
00:05:27 250	 1:start getImage
00:05:27 251	 2 getImage times:0
00:05:27 261	3  GrabFrame times:0,result=
00:05:27 266	 5 ImageProcess result=
00:05:27 270	7 finish getImage
00:05:27 766	 1:start getImage
00:05:27 767	 2 getImage times:0
00:05:27 767	3  GrabFrame times:0,result=
00:05:27 772	 5 ImageProcess result=
00:05:27 776	7 finish getImage
00:05:27 777	 1:start getImage
00:05:27 777	 2 getImage times:0
00:05:27 781	3  GrabFrame times:0,result=
00:05:27 786	 5 ImageProcess result=
00:05:27 789	7 finish getImage
00:05:28 280	 1:start getImage
00:05:28 281	 2 getImage times:0
00:05:28 281	3  GrabFrame times:0,result=
00:05:28 286	 5 ImageProcess result=
00:05:28 289	7 finish getImage
00:05:28 291	 1:start getImage
00:05:28 291	 2 getImage times:0
00:05:28 301	3  GrabFrame times:0,result=
00:05:28 307	 5 ImageProcess result=
00:05:28 310	7 finish getImage
00:05:28 797	 1:start getImage
00:05:28 797	 2 getImage times:0
00:05:28 798	3  GrabFrame times:0,result=
00:05:28 803	 5 ImageProcess result=
00:05:28 807	7 finish getImage
00:05:28 808	 1:start getImage
00:05:28 809	 2 getImage times:0
00:05:28 821	3  GrabFrame times:0,result=
00:05:28 826	 5 ImageProcess result=
00:05:28 829	7 finish getImage
00:05:29 319	 1:start getImage
00:05:29 319	 2 getImage times:0
00:05:29 320	3  GrabFrame times:0,result=
00:05:29 325	 5 ImageProcess result=
00:05:29 329	7 finish getImage
00:05:29 331	 1:start getImage
00:05:29 331	 2 getImage times:0
00:05:29 341	3  GrabFrame times:0,result=
00:05:29 346	 5 ImageProcess result=
00:05:29 350	7 finish getImage
00:05:29 841	 1:start getImage
00:05:29 841	 2 getImage times:0
00:05:29 842	3  GrabFrame times:0,result=
00:05:29 847	 5 ImageProcess result=
00:05:29 851	7 finish getImage
00:05:29 853	 1:start getImage
00:05:29 853	 2 getImage times:0
00:05:29 861	3  GrabFrame times:0,result=
00:05:29 866	 5 ImageProcess result=
00:05:29 869	7 finish getImage
00:05:33 314	 1:start getImage
00:05:33 314	 2 getImage times:0
00:05:33 315	3  GrabFrame times:0,result=
00:05:33 320	 5 ImageProcess result=
00:05:33 323	7 finish getImage
00:05:33 325	 1:start getImage
00:05:33 326	 2 getImage times:0
00:05:33 340	3  GrabFrame times:0,result=
00:05:33 345	 5 ImageProcess result=
00:05:33 348	7 finish getImage
00:05:34 025	 1:start getImage
00:05:34 025	 2 getImage times:0
00:05:34 026	3  GrabFrame times:0,result=
00:05:34 031	 5 ImageProcess result=
00:05:34 035	7 finish getImage
00:05:34 037	 1:start getImage
00:05:34 037	 2 getImage times:0
00:05:34 059	3  GrabFrame times:0,result=
00:05:34 064	 5 ImageProcess result=
00:05:34 068	7 finish getImage
00:05:34 871	 1:start getImage
00:05:34 871	 2 getImage times:0
00:05:34 872	3  GrabFrame times:0,result=
00:05:34 877	 5 ImageProcess result=
00:05:34 880	7 finish getImage
00:05:34 882	 1:start getImage
00:05:34 882	 2 getImage times:0
00:05:34 899	3  GrabFrame times:0,result=
00:05:34 905	 5 ImageProcess result=
00:05:34 908	7 finish getImage
00:05:35 392	 1:start getImage
00:05:35 392	 2 getImage times:0
00:05:35 393	3  GrabFrame times:0,result=
00:05:35 398	 5 ImageProcess result=
00:05:35 402	7 finish getImage
00:05:35 403	 1:start getImage
00:05:35 404	 2 getImage times:0
00:05:35 419	3  GrabFrame times:0,result=
00:05:35 424	 5 ImageProcess result=
00:05:35 428	7 finish getImage
00:05:35 909	 1:start getImage
00:05:35 909	 2 getImage times:0
00:05:35 910	3  GrabFrame times:0,result=
00:05:35 915	 5 ImageProcess result=
00:05:35 919	7 finish getImage
00:05:35 920	 1:start getImage
00:05:35 921	 2 getImage times:0
00:05:35 938	3  GrabFrame times:0,result=
00:05:35 943	 5 ImageProcess result=
00:05:35 947	7 finish getImage
00:05:36 426	 1:start getImage
00:05:36 426	 2 getImage times:0
00:05:36 427	3  GrabFrame times:0,result=
00:05:36 432	 5 ImageProcess result=
00:05:36 435	7 finish getImage
00:05:36 437	 1:start getImage
